,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0043062,GO:0043062,extracellular structure organization,29/567,315/18614,1.31E-07,5.23E-05,4.33E-05,CCDC80/ADAMTS18/HAPLN2/PDPN/ADAMTS9/AEBP1/ABI3BP/CHADL/SMOC1/ADAMTS4/CCN1/ADAMTS14/SFRP2/MYO1E/ANTXR1/ELN/CCN2/COL4A5/COL9A3/COL9A2/VWA1/MATN2/HPN/PHLDB1/ECM2/TLL1/DDR2/CAV1/ADAMTS1,29
GO:0045229,GO:0045229,external encapsulating structure organization,29/567,317/18614,1.50E-07,5.49E-05,4.54E-05,CCDC80/ADAMTS18/HAPLN2/PDPN/ADAMTS9/AEBP1/ABI3BP/CHADL/SMOC1/ADAMTS4/CCN1/ADAMTS14/SFRP2/MYO1E/ANTXR1/ELN/CCN2/COL4A5/COL9A3/COL9A2/VWA1/MATN2/HPN/PHLDB1/ECM2/TLL1/DDR2/CAV1/ADAMTS1,29
GO:0006940,GO:0006940,regulation of smooth muscle contraction,12/567,64/18614,4.40E-07,0.000148882,0.000123122,ITGA2/DOCK5/SPX/ADRA1A/CALCRL/PLCE1/CAV1/EDN1/PTGS2/GUCY1A1/PRKG1/ZDHHC21,12
GO:0051960,GO:0051960,regulation of nervous system development,35/567,461/18614,7.41E-07,0.000232724,0.000192459,EGR2/SPP1/NKX6-2/DAAM2/MAG/MYRF/SEMA3B/S100A10/MBP/SOX10/ZNF488/BTG2/SOX8/THBS2/ITGAX/SEMA4A/SEMA5A/PARD3/JAM2/RND2/BMPR1A/NTN1/PAX6/LDLR/BHLHE41/IL6ST/PLXNA4/FN1/NRP1/HEY2/SKIL/SERPINE2/ID1/SEMA3C/MAN2A1,35
GO:0031643,GO:0031643,positive regulation of myelination,7/567,19/18614,8.59E-07,0.000251975,0.000208379,EGR2/MAG/MYRF/SOX10/ZNF488/ITGAX/PARD3,7
GO:0034109,GO:0034109,homotypic cell-cell adhesion,14/567,97/18614,1.38E-06,0.00037977,0.000314063,ADAMTS18/TJP2/PDPN/C1QTNF1/CD99/CD9/CTNNA3/P2RY12/IL6ST/PKP2/PRKG1/PRKCA/SERPINE2/MEGF11,14
GO:0006939,GO:0006939,smooth muscle contraction,15/567,113/18614,1.73E-06,0.000448179,0.000370636,CD38/ITGA2/DOCK5/SPX/ADRA1A/CALCRL/PLCE1/CAV1/MYLK/EDN1/PTGS2/GUCY1A1/PRKG1/ZDHHC21/PIK3C2A,15
GO:0003018,GO:0003018,vascular process in circulatory system,24/567,265/18614,2.12E-06,0.000502304,0.000415397,NTS/MYLK3/CD38/ANGPT1/SLC6A9/TJP2/CD36/SLC24A3/SLC1A5/DOCK5/KCNA5/ADRA1A/SLC44A1/FABP5/CAV1/LEPR/ABCC4/YES1/EDN1/PTGS2/GUCY1A1/PRKG1/ZDHHC21/PIK3C2A,24
GO:0050767,GO:0050767,regulation of neurogenesis,30/567,381/18614,2.21E-06,0.000502304,0.000415397,EGR2/SPP1/NKX6-2/DAAM2/MAG/SEMA3B/S100A10/MBP/SOX10/ZNF488/BTG2/SOX8/SEMA4A/SEMA5A/RND2/BMPR1A/NTN1/PAX6/LDLR/BHLHE41/IL6ST/PLXNA4/FN1/NRP1/HEY2/SKIL/SERPINE2/ID1/SEMA3C/MAN2A1,30
GO:0090330,GO:0090330,regulation of platelet aggregation,8/567,30/18614,2.28E-06,0.000502304,0.000415397,ADAMTS18/PDPN/C1QTNF1/CD9/IL6ST/PRKG1/PRKCA/SERPINE2,8
GO:0090066,GO:0090066,regulation of anatomical structure size,35/567,492/18614,3.26E-06,0.000668739,0.000553035,NTS/AQP1/CD38/USH1C/KANK4/SPP1/DAAM2/MAG/SEMA3B/SCIN/ELN/DOCK5/KCNA5/ADRA1A/SEMA4A/SEMA5A/CAV1/RND2/NTN1/PLEKHH2/EPS8/PLXNA4/EDN1/FN1/PTGS2/TWF1/ARHGAP5/GUCY1A1/PRKG1/NRP1/WNK3/ZDHHC21/CLCN3/PIK3C2A/SEMA3C,35
GO:0050768,GO:0050768,negative regulation of neurogenesis,17/567,150/18614,3.34E-06,0.000668739,0.000553035,SPP1/NKX6-2/DAAM2/MAG/SEMA3B/MBP/SOX10/BTG2/SEMA4A/SEMA5A/BMPR1A/NTN1/PAX6/LDLR/NRP1/ID1/SEMA3C,17
GO:0032288,GO:0032288,myelin assembly,7/567,23/18614,3.76E-06,0.000718998,0.000594599,ITGB4/MAG/UGT8/MOBP/CD9/PIKFYVE/PALS1,7
GO:0051961,GO:0051961,negative regulation of nervous system development,17/567,156/18614,5.71E-06,0.00104748,0.000866248,SPP1/NKX6-2/DAAM2/MAG/SEMA3B/MBP/SOX10/BTG2/SEMA4A/SEMA5A/BMPR1A/NTN1/PAX6/LDLR/NRP1/ID1/SEMA3C,17
GO:0003151,GO:0003151,outflow tract morphogenesis,12/567,82/18614,6.74E-06,0.001115205,0.000922255,NPY2R/SFRP2/ELN/JUN/JAG1/BMPR1A/NRP2/EDN1/NRP1/PARVA/HEY2/SEMA3C,12
GO:0014032,GO:0014032,neural crest cell development,12/567,82/18614,6.74E-06,0.001115205,0.000922255,SEMA3B/SOX10/SOX8/SEMA4A/SEMA5A/JAG1/BMPR1A/NRP2/EDN1/FN1/NRP1/SEMA3C,12
GO:0003206,GO:0003206,cardiac chamber morphogenesis,15/567,126/18614,6.84E-06,0.001115205,0.000922255,PPP1R13L/DNAH11/NPY2R/APLNR/CCN1/SFRP2/JAG1/BMPR1A/NRP2/PKP2/ADAMTS1/NRP1/PARVA/HEY2/SEMA3C,15
GO:0010721,GO:0010721,negative regulation of cell development,24/567,286/18614,7.89E-06,0.001239741,0.001025244,LTF/FOXJ1/SPP1/NKX6-2/DAAM2/MAG/S1PR3/SEMA3B/MBP/SOX10/CD74/BTG2/TOB2/SEMA4A/TRIB1/SEMA5A/INHBA/BMPR1A/NTN1/PAX6/LDLR/NRP1/ID1/SEMA3C,24
GO:0001755,GO:0001755,neural crest cell migration,10/567,58/18614,8.89E-06,0.001291932,0.001068405,SEMA3B/SOX10/SOX8/SEMA4A/SEMA5A/NRP2/EDN1/FN1/NRP1/SEMA3C,10
GO:0022010,GO:0022010,central nervous system myelination,7/567,26/18614,9.32E-06,0.001291932,0.001068405,NKX6-2/FA2H/MAG/MYRF/MOBP/SOX10/MAL,7
GO:0032291,GO:0032291,axon ensheathment in central nervous system,7/567,26/18614,9.32E-06,0.001291932,0.001068405,NKX6-2/FA2H/MAG/MYRF/MOBP/SOX10/MAL,7
GO:0150063,GO:0150063,visual system development,29/567,389/18614,9.40E-06,0.001291932,0.001068405,AQP1/CPAMD8/PPP1R13L/USH1C/ADAMTS18/SMOC1/EFEMP1/SOX8/TMEM215/FREM2/JUN/INHBA/JAG1/P2RY12/CLIC4/PAX6/TWSG1/TTC8/FLT1/BCAR3/FRS2/CRYBG3/MITF/NRP1/SKIL/SPRY2/TMEM135/MAN2A1/MEGF11,29
GO:0090497,GO:0090497,mesenchymal cell migration,10/567,60/18614,1.22E-05,0.001493266,0.001234905,SEMA3B/SOX10/SOX8/SEMA4A/SEMA5A/NRP2/EDN1/FN1/NRP1/SEMA3C,10
GO:0031641,GO:0031641,regulation of myelination,9/567,48/18614,1.23E-05,0.001493266,0.001234905,EGR2/NKX6-2/MAG/MYRF/SOX10/ZNF488/ITGAX/PARD3/JAM2,9
GO:0031646,GO:0031646,positive regulation of nervous system process,8/567,37/18614,1.25E-05,0.001493266,0.001234905,EGR2/MAG/MYRF/ITGA2/SOX10/ZNF488/ITGAX/PARD3,8
GO:0034110,GO:0034110,regulation of homotypic cell-cell adhesion,8/567,37/18614,1.25E-05,0.001493266,0.001234905,ADAMTS18/PDPN/C1QTNF1/CD9/IL6ST/PRKG1/PRKCA/SERPINE2,8
GO:0048880,GO:0048880,sensory system development,29/567,395/18614,1.26E-05,0.001493266,0.001234905,AQP1/CPAMD8/PPP1R13L/USH1C/ADAMTS18/SMOC1/EFEMP1/SOX8/TMEM215/FREM2/JUN/INHBA/JAG1/P2RY12/CLIC4/PAX6/TWSG1/TTC8/FLT1/BCAR3/FRS2/CRYBG3/MITF/NRP1/SKIL/SPRY2/TMEM135/MAN2A1/MEGF11,29
GO:0003205,GO:0003205,cardiac chamber development,17/567,166/18614,1.31E-05,0.001520009,0.00125702,PPP1R13L/DNAH11/NPY2R/APLNR/CCN1/SFRP2/JAG1/BMPR1A/NRP2/PKP2/FRS2/TMEM65/ADAMTS1/NRP1/PARVA/HEY2/SEMA3C,17
GO:0048864,GO:0048864,stem cell development,12/567,88/18614,1.42E-05,0.001592617,0.001317066,SEMA3B/SOX10/SOX8/SEMA4A/SEMA5A/JAG1/BMPR1A/NRP2/EDN1/FN1/NRP1/SEMA3C,12
GO:0050678,GO:0050678,regulation of epithelial cell proliferation,30/567,419/18614,1.45E-05,0.001592617,0.001317066,SPARC/CCL2/APLNR/FA2H/NUPR1/FGF1/SFRP2/APLN/AR/FZD7/HPN/SEMA5A/JUN/JAG1/NR4A1/CAV1/EGR3/SCG2/BMPR1A/PAX6/NRP2/FLT1/CD109/IGF2/FRS2/NRP1/PRKCA/NR4A3/ID1/CCND1,30
GO:0045669,GO:0045669,positive regulation of osteoblast differentiation,11/567,75/18614,1.59E-05,0.001708507,0.001412905,LTF/WWTR1/CEBPD/CCN1/SFRP2/GDPD2/JAG1/DDR2/BMPR1A/IL6ST/SMAD5,11
GO:0090331,GO:0090331,negative regulation of platelet aggregation,5/567,12/18614,1.71E-05,0.001789682,0.001480036,ADAMTS18/C1QTNF1/CD9/PRKG1/SERPINE2,5
GO:0070542,GO:0070542,response to fatty acid,10/567,63/18614,1.90E-05,0.001898753,0.001570235,CD36/ID3/PDK4/CCN2/MBP/PCSK1/LPL/LDLR/EDN1/PTGS2,10
GO:0003158,GO:0003158,endothelium development,15/567,137/18614,1.90E-05,0.001898753,0.001570235,HAPLN2/TJP2/PDPN/S1PR3/FGF1/ITGAX/JAG1/FSTL1/CLIC4/GSTM3/APOLD1/NRP1/HEY2/ZDHHC21/ID1,15
GO:1904707,GO:1904707,positive regulation of vascular associated smooth muscle cell proliferation,9/567,51/18614,2.06E-05,0.002008332,0.001660855,LDLRAP1/JUN/DDR2/CALCRL/BMPR1A/EDN1/FRS2/ADAMTS1/NR4A3,9
GO:0001654,GO:0001654,eye development,28/567,385/18614,2.10E-05,0.002008332,0.001660855,AQP1/CPAMD8/PPP1R13L/USH1C/ADAMTS18/SMOC1/EFEMP1/SOX8/TMEM215/FREM2/JUN/INHBA/JAG1/CLIC4/PAX6/TWSG1/TTC8/FLT1/BCAR3/FRS2/CRYBG3/MITF/NRP1/SKIL/SPRY2/TMEM135/MAN2A1/MEGF11,28
GO:0003012,GO:0003012,muscle system process,31/567,452/18614,2.42E-05,0.002263806,0.001872127,PPP1R13L/CD38/KCNE5/ITGA2/CTNNA3/DOCK5/CCN2/SPX/KCNA5/ADRA1A/SSPN/CALCRL/NR4A1/PLCE1/CAV1/MYLK/IL6ST/PKP2/CALD1/EDN1/PTGS2/SYNM/TWF1/GUCY1A1/PRKG1/HEY2/PRKCA/NR4A3/SMAD5/ZDHHC21/PIK3C2A,31
GO:0006936,GO:0006936,muscle contraction,26/567,349/18614,2.74E-05,0.002508089,0.002074145,PPP1R13L/CD38/KCNE5/ITGA2/CTNNA3/DOCK5/CCN2/SPX/KCNA5/ADRA1A/SSPN/CALCRL/NR4A1/PLCE1/CAV1/MYLK/PKP2/CALD1/EDN1/PTGS2/SYNM/GUCY1A1/PRKG1/SMAD5/ZDHHC21/PIK3C2A,26
GO:0010634,GO:0010634,positive regulation of epithelial cell migration,17/567,176/18614,2.82E-05,0.002529874,0.002092161,ANGPT1/SPARC/ITGA2/ENPP2/FGF1/DOCK5/CTSH/GLIPR2/SEMA5A/JUN/NRP2/EDN1/PTGS2/NRP1/PRKCA/RIN2/PIK3C2A,17
GO:0014033,GO:0014033,neural crest cell differentiation,12/567,95/18614,3.11E-05,0.002733302,0.002260392,SEMA3B/SOX10/SOX8/SEMA4A/SEMA5A/JAG1/BMPR1A/NRP2/EDN1/FN1/NRP1/SEMA3C,12
GO:0045785,GO:0045785,positive regulation of cell adhesion,32/567,482/18614,3.39E-05,0.00292318,0.002417418,CD44/ANGPT1/CCDC80/CCL2/PDPN/CD36/ABI3BP/ITGA2/CCN1/SFRP2/S100A10/DOCK5/CD74/NFKBID/FBLN2/CD83/ECM2/P2RY12/CAV1/EGR3/YES1/IL6ST/FN1/IGF2/ITGAV/HSPH1/NRP1/PRKCA/NR4A3/SDC4/RIN2/BMI1,32
GO:0034111,GO:0034111,negative regulation of homotypic cell-cell adhesion,5/567,14/18614,4.11E-05,0.00347328,0.00287234,ADAMTS18/C1QTNF1/CD9/PRKG1/SERPINE2,5
GO:0071526,GO:0071526,semaphorin-plexin signaling pathway,8/567,44/18614,4.75E-05,0.003942948,0.003260748,SEMA3B/SEMA4A/SEMA5A/NRP2/PLXNA4/EDN1/NRP1/SEMA3C,8
GO:0060537,GO:0060537,muscle tissue development,29/567,426/18614,5.04E-05,0.004043921,0.003344251,MYLK3/PPP1R13L/FOS/EGR2/ADAMTS9/NUPR1/ERBB3/ELN/BTG2/EGR1/ADRA1A/SOX8/FZD7/ATF3/NR4A1/CAV1/SGCB/BMPR1A/MYLK/PKP2/SOX6/EDN1/CSRP2/IGF2/ITGA7/FRS2/HEY2/SMAD5/SEMA3C,29
GO:0070371,GO:0070371,ERK1 and ERK2 cascade,25/567,341/18614,5.06E-05,0.004043921,0.003344251,CD44/ANGPT1/CCL2/TF/CD36/CCN1/FGF1/CCN2/CD74/ADRA1A/CTSH/GLIPR2/ATF3/JUN/INHBA/DDR2/EDN1/PDGFC/FN1/ITGAV/FRS2/NRP1/PRKCA/CNKSR3/SPRY2,25
GO:0034446,GO:0034446,substrate adhesion-dependent cell spreading,12/567,100/18614,5.20E-05,0.004051064,0.003350158,PDPN/ANTXR1/S100A10/DOCK5/FZD7/PKP2/FN1/ITGAV/NRP1/PARVA/PEAK1/AP1AR,12
GO:0010810,GO:0010810,regulation of cell-substrate adhesion,19/567,222/18614,5.25E-05,0.004051064,0.003350158,SERPINE1/CCDC80/PDPN/CD36/ABI3BP/CCN1/S100A10/DOCK5/FZD7/FBLN2/ECM2/JAG1/PKP2/FN1/NRP1/PEAK1/SDC4/RIN2/AP1AR,19
GO:0031644,GO:0031644,regulation of nervous system process,15/567,150/18614,5.53E-05,0.004193111,0.003467628,EGR2/MAG/MYRF/ITGA2/SOX10/HOMER3/ZNF488/SPX/SHISA6/FABP5/ITGAX/PARD3/JAM2/EDN1/NPTXR,15
GO:0014003,GO:0014003,oligodendrocyte development,8/567,45/18614,5.63E-05,0.0041941,0.003468446,NKX6-2/FA2H/MAG/MYRF/MOBP/SOX10/ZNF488/MAL,8
GO:0045986,GO:0045986,negative regulation of smooth muscle contraction,5/567,15/18614,6.00E-05,0.004402352,0.003640666,DOCK5/CALCRL/PTGS2/GUCY1A1/PRKG1,5
GO:0060411,GO:0060411,cardiac septum morphogenesis,10/567,72/18614,6.23E-05,0.004465789,0.003693128,DNAH11/APLNR/CCN1/JAG1/BMPR1A/NRP2/NRP1/PARVA/HEY2/SEMA3C,10
GO:0050679,GO:0050679,positive regulation of epithelial cell proliferation,19/567,225/18614,6.29E-05,0.004465789,0.003693128,APLNR/FGF1/APLN/AR/FZD7/HPN/SEMA5A/JUN/NR4A1/EGR3/SCG2/BMPR1A/NRP2/IGF2/NRP1/PRKCA/NR4A3/ID1/CCND1,19
GO:0021782,GO:0021782,glial cell development,13/567,119/18614,6.92E-05,0.004753224,0.003930832,ITGB4/POU3F1/NKX6-2/FA2H/MAG/MYRF/MOBP/SOX10/ZNF488/MAL/PARD3/LDLR/PALS1,13
GO:0045446,GO:0045446,endothelial cell differentiation,13/567,119/18614,6.92E-05,0.004753224,0.003930832,HAPLN2/TJP2/PDPN/S1PR3/JAG1/FSTL1/CLIC4/GSTM3/APOLD1/NRP1/HEY2/ZDHHC21/ID1,13
GO:0010631,GO:0010631,epithelial cell migration,26/567,371/18614,7.62E-05,0.005154904,0.004263014,ANGPT1/SPARC/DAAM2/ADAMTS9/ANLN/ITGA2/ENPP2/FGF1/DOCK5/CTSH/GLIPR2/SEMA4A/SEMA5A/JUN/FSTL1/NR4A1/EGR3/SCG2/NRP2/EDN1/PTGS2/NRP1/PRKCA/RIN2/ID1/PIK3C2A,26
GO:0050919,GO:0050919,negative chemotaxis,8/567,47/18614,7.78E-05,0.005184816,0.004287751,SEMA3B/SEMA4A/SEMA5A/NTN1/NRP2/PLXNA4/ITGAV/SEMA3C,8
GO:0002064,GO:0002064,epithelial cell development,18/567,210/18614,8.05E-05,0.005236338,0.004330358,FOXJ1/HAPLN2/TJP2/S1PR3/MYO1E/AR/SOX8/EXPH5/PALLD/JAG1/CLIC4/FNDC3A/PAX6/GSTM3/IL6ST/FRMD6/FRS2/ZDHHC21,18
GO:0006937,GO:0006937,regulation of muscle contraction,16/567,173/18614,8.12E-05,0.005236338,0.004330358,ITGA2/CTNNA3/DOCK5/CCN2/SPX/ADRA1A/CALCRL/NR4A1/PLCE1/CAV1/PKP2/EDN1/PTGS2/GUCY1A1/PRKG1/ZDHHC21,16
GO:0008360,GO:0008360,regulation of cell shape,14/567,138/18614,8.31E-05,0.005236338,0.004330358,CCL2/PDPN/ERMN/CDC42EP1/RHOU/RHOG/HPN/SEMA4A/EPS8/PLXNA4/FN1/ITGA7/PARVA/FGD4,14
GO:0048532,GO:0048532,anatomical structure arrangement,5/567,16/18614,8.52E-05,0.005236338,0.004330358,EGR2/BMPR1A/NRP2/PLXNA4/NRP1,5
GO:0042060,GO:0042060,wound healing,29/567,439/18614,8.57E-05,0.005236338,0.004330358,AQP1/CD44/SERPINE1/SLC11A1/ADAMTS18/F5/PDPN/CD36/C1QTNF1/CD9/ITGA2/ERBB3/CCN1/FGF1/SYTL4/S100A10/ENTPD2/FZD7/DDR2/P2RY12/CAV1/MYLK/IL6ST/CD109/EDN1/PRKG1/PRKCA/SDC4/SERPINE2,29
GO:0001649,GO:0001649,osteoblast differentiation,20/567,250/18614,8.65E-05,0.005236338,0.004330358,LTF/TNC/SPP1/WWTR1/CEBPD/ID3/SMOC1/VCAN/JUNB/CCN1/SFRP2/SOX8/GDPD2/JAG1/DDR2/BMPR1A/TWSG1/IL6ST/IGF2/SMAD5,20
GO:0090132,GO:0090132,epithelium migration,26/567,374/18614,8.69E-05,0.005236338,0.004330358,ANGPT1/SPARC/DAAM2/ADAMTS9/ANLN/ITGA2/ENPP2/FGF1/DOCK5/CTSH/GLIPR2/SEMA4A/SEMA5A/JUN/FSTL1/NR4A1/EGR3/SCG2/NRP2/EDN1/PTGS2/NRP1/PRKCA/RIN2/ID1/PIK3C2A,26
GO:0034113,GO:0034113,heterotypic cell-cell adhesion,9/567,61/18614,8.95E-05,0.005322453,0.004401574,CD44/GLDN/CTNNA3/MBP/ITGAX/PKP2/ITGA7/ITGAV/PARVA,9
GO:0050673,GO:0050673,epithelial cell proliferation,31/567,488/18614,0.000101233,0.005937649,0.00491033,SPARC/CCL2/APLNR/FA2H/NUPR1/FGF1/SFRP2/LGR5/APLN/AR/FZD7/HPN/SEMA5A/JUN/JAG1/NR4A1/CAV1/EGR3/SCG2/BMPR1A/PAX6/NRP2/FLT1/CD109/IGF2/FRS2/NRP1/PRKCA/NR4A3/ID1/CCND1,31
GO:0006929,GO:0006929,substrate-dependent cell migration,6/567,26/18614,0.000106459,0.005997368,0.004959717,ITGA2/STON1/P2RY12/NTN1/FN1/NRP1,6
GO:0090257,GO:0090257,regulation of muscle system process,20/567,254/18614,0.000107565,0.005997368,0.004959717,ITGA2/CTNNA3/DOCK5/CCN2/SPX/ADRA1A/CALCRL/NR4A1/PLCE1/CAV1/IL6ST/PKP2/EDN1/PTGS2/TWF1/GUCY1A1/PRKG1/PRKCA/NR4A3/ZDHHC21,20
GO:0090130,GO:0090130,tissue migration,26/567,379/18614,0.000107806,0.005997368,0.004959717,ANGPT1/SPARC/DAAM2/ADAMTS9/ANLN/ITGA2/ENPP2/FGF1/DOCK5/CTSH/GLIPR2/SEMA4A/SEMA5A/JUN/FSTL1/NR4A1/EGR3/SCG2/NRP2/EDN1/PTGS2/NRP1/PRKCA/RIN2/ID1/PIK3C2A,26
GO:0014037,GO:0014037,Schwann cell differentiation,7/567,37/18614,0.000109029,0.005997368,0.004959717,ITGB4/POU3F1/EGR2/FA2H/ERBB3/PARD3/PALS1,7
GO:0007369,GO:0007369,gastrulation,17/567,196/18614,0.000109068,0.005997368,0.004959717,ITGB4/APLNR/DUSP1/ITGA2/SFRP2/MBP/APLN/FZD7/PHLDB1/INHBA/BMPR1A/TWSG1/FN1/ITGA7/ITGAV/FRS2/NR4A3,17
GO:0045685,GO:0045685,regulation of glial cell differentiation,10/567,77/18614,0.00011133,0.00602605,0.004983436,EGR2/NKX6-2/DAAM2/SLC45A3/MAG/ZNF488/OPALIN/LDLR/IL6ST/SERPINE2,10
GO:0048762,GO:0048762,mesenchymal cell differentiation,20/567,255/18614,0.000113481,0.00602605,0.004983436,PDPN/WWTR1/SEMA3B/SFRP2/SOX10/SOX8/GLIPR2/HPN/PHLDB1/SEMA4A/SEMA5A/JAG1/BMPR1A/NRP2/EDN1/FN1/NRP1/HEY2/SPRY2/SEMA3C,20
GO:0008361,GO:0008361,regulation of cell size,16/567,178/18614,0.000113699,0.00602605,0.004983436,AQP1/SPP1/MAG/SEMA3B/SEMA4A/SEMA5A/RND2/NTN1/PLXNA4/EDN1/FN1/ARHGAP5/NRP1/WNK3/CLCN3/SEMA3C,16
GO:0010927,GO:0010927,cellular component assembly involved in morphogenesis,13/567,126/18614,0.000124581,0.0065242,0.005395397,MYLK3/ITGB4/FLNC/MAG/UGT8/MOBP/LDB3/CD9/PHLDB1/EDN1/CSRP2/PIKFYVE/PALS1,13
GO:0048846,GO:0048846,axon extension involved in axon guidance,7/567,38/18614,0.000130173,0.006581975,0.005443176,SEMA3B/SEMA4A/SEMA5A/NRP2/PLXNA4/NRP1/SEMA3C,7
GO:0051385,GO:0051385,response to mineralocorticoid,7/567,38/18614,0.000130173,0.006581975,0.005443176,FOS/SGK1/FOSB/CCN2/MAOB/EDN1/CCND1,7
GO:1902284,GO:1902284,neuron projection extension involved in neuron projection guidance,7/567,38/18614,0.000130173,0.006581975,0.005443176,SEMA3B/SEMA4A/SEMA5A/NRP2/PLXNA4/NRP1/SEMA3C,7
GO:0007160,GO:0007160,cell-matrix adhesion,19/567,239/18614,0.000140153,0.007006036,0.005793868,CD44/SERPINE1/ITGB4/CD36/ADAMTS9/ITGA2/STON1/S100A10/CCN2/ITGAX/ECM2/JAG1/FN1/ITGA7/ITGAV/NRP1/PEAK1/SDC4/RIN2,19
GO:1904705,GO:1904705,regulation of vascular associated smooth muscle cell proliferation,11/567,95/18614,0.000146723,0.00725206,0.005997325,LDLRAP1/APLN/JUN/DDR2/CALCRL/BMPR1A/EDN1/FRS2/PRKG1/ADAMTS1/NR4A3,11
GO:0021561,GO:0021561,facial nerve development,4/567,10/18614,0.000154542,0.007389483,0.006110971,EGR2/NRP2/PLXNA4/NRP1,4
GO:0021604,GO:0021604,cranial nerve structural organization,4/567,10/18614,0.000154542,0.007389483,0.006110971,EGR2/NRP2/PLXNA4/NRP1,4
GO:0021610,GO:0021610,facial nerve morphogenesis,4/567,10/18614,0.000154542,0.007389483,0.006110971,EGR2/NRP2/PLXNA4/NRP1,4
