Geneid	dukeepi1513rep2	dukeepi1513rep3	dukeepi1930rep2	dukeepi1930rep3	dukeepi3169rep2	dukeepi3169rep3	dukeepi3949rep2	dukeepi3949rep3	dukeepi4000rep2	dukeepi4000rep3	dukeepi1046cap2	dukeepi2213cap1	dukeepi2213cap2	dukeepi2638cap1	dukeepi2953cap1	dukeepi2953cap2	dukeepi1895rep1	dukeepi1895rep2	dukeepi2948rep1	dukeepi2948rep2	dukeepi3956rep1	dukeepi3956rep2
RP4-669L17.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CICP7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
RP4-669L17.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-669L17.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL732372.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-669L17.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-857K21.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-669L17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-857K21.1	0	2	0	4	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
RP5-857K21.2	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	11	0	0	0	0	0	0
RP5-857K21.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-857K21.4	33	22	25	36	17	43	30	26	47	24	0	0	0	0	0	8	27	35	11	13	4	32
RP5-857K21.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTND1P23	2299	2007	344	204	395	308	160	134	157	130	99	160	91	106	71	106	188	181	140	146	205	230
MTND2P28	988	1053	1696	1828	2277	2739	1827	1354	788	951	235	190	227	247	203	222	2676	2180	1648	735	3246	4232
hsa-mir-6723	2283	2866	3238	2728	2972	2764	2358	1803	1296	917	1289	2369	1443	1527	1264	1454	4736	4136	3111	1340	1503	2619
RP5-857K21.7	123	54	86	48	150	85	109	37	67	47	409	380	432	289	395	376	120	98	83	35	244	187
RP5-857K21.14	0	0	0	0	1	0	0	0	0	0	2	2	0	1	2	0	0	0	0	0	0	1
RP5-857K21.10	72551	65444	94190	63671	135798	106008	91695	51904	61767	32768	461	484	355	356	343	263	128065	96963	88577	36226	169797	143462
RP5-857K21.11	157	183	179	179	217	203	170	108	124	80	4822	5776	4032	4638	3223	3359	233	183	134	68	40	75
RP5-857K21.12	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CICP3	0	5	0	2	2	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RP11-206L10.1	4	6	0	18	12	21	0	12	0	0	23	0	38	0	0	19	0	0	0	0	0	0
RP11-206L10.3	24	8	27	19	23	24	7	3	14	31	0	0	0	0	0	0	8	1	4	3	0	1
RP11-206L10.5	4	18	42	50	6	35	5	19	9	9	0	1	0	0	0	0	1	0	4	19	0	0
RP11-206L10.4	0	3	0	0	9	9	5	1	9	4	0	0	1	0	0	0	12	6	2	4	29	30
RP11-206L10.2	24	15	63	58	45	42	40	18	12	28	271	201	414	175	98	225	0	0	0	20	0	0
RP11-206L10.9	416	411	598	576	720	755	403	281	532	598	127	75	204	74	62	195	493	386	356	265	127	354
RP11-206L10.8	99	61	102	90	140	135	60	55	43	76	1	23	8	0	12	24	63	51	37	66	29	80
AL669831.1	0	1	0	10	2	1	0	0	1	2	7	20	0	0	0	9	0	0	0	0	0	0
RP11-206L10.10	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
FAM87B	2	20	28	57	30	25	72	15	8	24	0	0	56	0	0	3	4	0	14	3	0	0
LINC00115	34	75	70	120	61	230	49	98	94	90	142	169	230	88	6	297	84	40	50	14	0	54
RP11-206L10.11	1965	2227	1712	1523	3623	4958	2527	2158	1280	1935	1278	2108	1300	979	1553	1648	492	414	535	1186	1018	388
FAM41C	13	2	12	19	97	46	10	18	32	60	53	159	73	55	210	232	26	10	6	4	39	28
RP11-206L10.13	0	12	0	6	2	9	11	0	6	0	0	0	2	0	0	0	0	1	0	0	0	0
AL645608.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1
RP11-54O7.1	0	0	0	0	0	0	0	0	0	2	42	0	0	0	0	0	0	0	0	0	0	0
RP11-54O7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-54O7.3	0	5	0	0	0	10	0	0	0	2	32	1	8	11	2	2	1	0	0	0	0	0
SAMD11	0	1	2	6	0	8	2	3	0	8	1	2	5	17	30	5	0	0	0	0	0	1
AL645608.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	298	1062	201	606	730	2311	226	849	48	797	683	247	405	1309	679	1257	2	1	0	7	0	2
KLHL17	37	80	32	23	69	92	9	39	8	76	150	214	191	133	133	12	0	0	0	0	1	0
PLEKHN1	0	8	0	0	0	0	0	0	0	0	5	5	6	5	6	3	1	1	1	0	0	3
C1orf170	0	0	0	0	0	0	0	0	0	0	0	1	1	1	4	2	0	0	0	0	0	0
HES4	0	0	0	0	0	0	0	1	0	0	5	2	5	8	1	4	2	0	0	0	0	0
RP11-54O7.10	0	0	7	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-54O7.11	0	0	1	0	17	9	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2
ISG15	86	145	123	336	131	364	112	253	125	455	372	87	474	1146	294	430	2	0	0	0	0	0
AGRN	2	5	22	27	6	37	7	5	2	10	92	66	25	140	38	29	1	3	3	1	0	0
RP11-54O7.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-465B22.3	9	6	15	18	4	21	38	37	16	19	80	0	0	63	99	0	1	0	1	0	1	2
RNF223	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
C1orf159	17	59	36	25	22	85	11	48	0	99	69	490	94	175	265	56	3	1	1	1	0	1
RP11-465B22.5	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	0	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
TTLL10	0	1	0	1	0	0	0	0	0	0	1	3	5	4	2	3	0	1	1	0	0	0
TNFRSF18	0	1	0	0	0	0	0	0	0	0	31	0	2	0	2	1	0	0	0	0	0	0
TNFRSF4	0	0	0	13	0	8	0	2	0	12	10	53	4	1	66	10	0	0	0	0	0	0
SDF4	162	283	225	465	224	934	165	334	55	426	332	386	463	655	715	548	4	1	1	10	7	5
B3GALT6	282	258	334	460	436	606	379	290	253	320	536	562	825	916	411	317	10	5	11	91	17	15
FAM132A	0	4	0	5	4	6	0	0	0	1	16	5	5	0	1	1	0	0	0	0	0	0
RP5-902P8.12	0	0	0	0	3	9	0	4	11	0	7	1	16	0	0	0	0	0	0	0	0	0
UBE2J2	91	847	194	975	172	1517	69	807	75	787	586	518	551	784	981	699	10	4	1	11	1	12
RP5-902P8.10	0	1	0	2	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0
SCNN1D	5	8	12	28	59	30	4	8	9	80	175	203	194	20	36	76	1	0	0	0	0	0
ACAP3	102	215	150	278	182	563	66	180	77	381	963	909	1266	648	1276	627	5	5	4	12	2	5
PUSL1	30	158	32	160	30	280	25	121	33	127	145	282	107	163	581	246	0	0	1	3	0	0
CPSF3L	907	1542	680	1402	1487	4583	700	1428	514	1432	2553	2875	2680	1863	2386	2812	9	10	5	41	10	10
RP5-890O3.9	2	23	77	40	21	49	20	47	34	27	34	49	69	3	9	8	2	10	6	20	36	2
GLTPD1	70	146	116	225	71	476	28	94	21	173	253	235	260	712	459	195	1	4	2	0	0	2
TAS1R3	0	0	0	0	0	3	0	6	0	6	1	3	53	5	2	1	0	0	0	1	0	0
DVL1	98	196	143	303	141	436	88	146	55	206	704	418	569	445	629	536	4	1	4	3	0	4
MXRA8	12	56	158	233	32	86	51	95	22	38	362	2	81	51	3	57	0	1	1	12	0	0
AURKAIP1	498	1433	612	1420	1057	2947	525	1289	337	1327	2179	2173	2270	3459	4383	3035	2	2	4	27	8	4
RP5-890O3.3	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	0	0	0
CCNL2	1870	4086	2550	4500	3535	10647	1611	3565	1429	4648	4147	4742	4893	3258	4166	4671	178	112	137	226	173	195
RP4-758J18.2	167	274	224	266	337	507	226	375	65	225	179	76	326	546	126	60	0	2	0	9	0	0
MRPL20	6833	5909	7344	6356	14693	11801	8238	4391	5678	3929	6299	5687	7629	5834	7551	9930	430	342	333	1434	218	350
Metazoa_SRP	862	980	1560	1676	2403	2448	1105	839	1523	1699	1883	1615	1063	882	1073	712	549	391	359	712	400	461
ANKRD65	75	113	153	225	204	407	70	78	63	88	160	319	280	131	196	234	28	22	2	17	6	10
RP4-758J18.7	1	0	0	2	0	14	0	0	3	2	0	0	0	16	0	1	0	0	0	0	0	0
RP4-758J18.8	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TMEM88B	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RP4-758J18.9	7	8	85	25	22	36	8	3	24	51	120	35	5	22	93	55	12	1	0	1	0	0
RP4-758J18.10	0	0	0	1	0	3	0	0	0	4	26	0	0	0	2	1	0	0	0	0	0	0
VWA1	7	28	50	85	18	42	12	46	14	62	390	25	96	139	50	96	2	0	0	1	1	1
ATAD3C	28	82	59	29	135	279	58	86	86	138	134	328	182	35	136	412	93	56	41	57	24	41
ATAD3B	17	73	45	41	13	173	13	71	1	101	230	338	188	221	523	69	0	0	1	0	1	0
ATAD3A	16	59	8	39	61	122	17	52	24	79	120	432	166	141	144	251	0	0	0	5	0	0
TMEM240	3	14	0	5	18	22	2	12	0	5	0	1	0	13	0	38	2	0	1	0	0	0
SSU72	6108	6675	5957	5618	14323	14559	6061	4903	4356	4938	5622	6027	6253	6157	6883	9069	39	29	20	1483	39	29
AL645728.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645728.1	36	30	41	28	35	84	43	22	57	20	4	43	82	61	57	59	0	0	0	2	0	0
AL645728.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf233	50	191	119	363	72	316	63	148	24	134	433	488	431	538	243	513	2	0	2	0	0	0
MIB2	21	78	5	95	17	169	20	58	5	115	132	115	304	223	275	124	0	6	1	1	1	2
MMP23B	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CDK11B	562	634	493	726	858	1476	632	688	250	564	225	308	259	237	273	475	10	19	30	38	26	21
SLC35E2B	6936	7030	11083	8475	18241	17138	8673	5171	8691	5592	2037	765	1310	1557	1225	967	6190	4786	6520	6078	5987	4887
RP11-345P4.7	0	1	0	2	4	4	0	2	1	9	0	0	1	0	0	0	0	6	1	0	0	0
RP11-345P4.6	10	5	3	0	2	7	14	7	4	0	13	0	1	0	0	20	0	0	0	0	0	0
MMP23A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK11A	39	14	29	5	41	121	50	51	18	37	24	6	4	16	10	38	11	5	4	12	0	2
RP1-283E3.8	119	175	216	235	240	452	192	163	121	135	91	209	105	122	19	99	3	2	5	75	4	3
RP1-283E3.4	53	84	96	70	88	219	31	29	24	58	23	4	14	25	96	59	0	0	0	6	1	3
SLC35E2	100	185	95	100	264	395	52	95	69	123	84	19	53	21	64	26	2	0	6	36	0	0
NADK	461	858	815	1004	883	1778	415	830	339	759	1341	941	737	1646	1349	1004	22	6	9	17	6	17
GNB1	16098	10678	15196	10921	37886	28908	27568	14476	14679	9871	14144	9389	11017	13101	10881	12178	2919	2317	2220	6439	1231	2465
RP1-140A9.1	2	30	16	19	7	23	11	19	36	28	112	0	16	2	5	65	1	0	0	0	0	0
CALML6	0	2	2	0	0	8	2	0	0	10	19	1	2	4	4	0	0	0	0	1	0	1
TMEM52	0	2	0	6	0	1	0	0	0	7	2	1	8	0	19	0	0	0	0	0	0	1
C1orf222	293	331	446	210	516	904	249	304	133	333	303	287	285	119	314	220	8	6	2	40	8	5
RP11-547D24.1	114	114	158	31	331	89	146	86	65	0	33	0	3	168	349	49	8	7	0	5	0	2
GABRD	879	1987	748	1502	2034	5679	774	1705	446	1430	2360	2487	2738	4359	2313	1978	9	17	11	52	4	5
RP11-547D24.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ	3190	4038	2904	2992	7275	11603	4193	5431	1363	2875	1238	2136	1047	2370	2070	2518	13	3	12	106	16	13
RP11-181G12.2	10	18	6	10	16	21	2	13	3	61	0	17	2	0	0	0	0	0	0	4	0	5
C1orf86	49	142	76	341	64	308	85	116	72	120	168	347	255	375	380	83	4	9	7	10	0	1
AL590822.2	5	7	2	15	1	14	3	16	4	5	11	31	21	47	19	0	0	0	0	3	0	0
AL590822.1	3	0	9	2	0	1	0	2	0	6	2	20	23	13	0	0	0	0	0	0	0	1
RP11-181G12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-181G12.4	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
SKI	116	296	238	470	337	799	257	385	151	311	224	301	214	425	752	788	154	169	110	147	229	199
MORN1	30	108	85	176	281	461	208	166	44	122	84	163	103	339	84	47	2	2	1	16	0	1
AL589739.1	0	0	0	3	0	0	0	4	0	4	0	0	0	0	0	0	2	0	0	0	0	0
RP4-740C4.5	0	0	1	3	0	7	1	19	0	7	0	6	0	0	0	0	0	0	0	0	0	0
AL513477.1	10	19	9	4	11	36	19	14	2	20	16	14	70	40	119	121	0	0	0	2	0	1
RER1	763	1751	1564	2185	1366	3403	793	1864	287	1312	2318	630	1239	2587	2502	2446	49	37	25	81	63	55
PEX10	127	258	279	445	193	596	131	211	106	341	569	563	377	496	486	350	6	0	7	11	4	1
RP4-740C4.4	0	2	0	12	1	0	0	0	2	1	2	0	1	17	14	0	0	0	0	0	0	0
PLCH2	1	20	10	2	3	33	1	6	0	4	13	20	15	45	49	58	4	2	2	1	1	6
RP3-395M20.2	0	0	4	0	2	2	0	4	0	0	0	0	0	0	0	10	0	0	0	0	0	0
RP3-395M20.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANK4	610	1109	771	926	840	2003	360	986	308	785	503	692	981	602	599	641	3	12	4	14	3	10
HES5	0	0	0	2	0	16	0	7	0	4	16	1	1	7	2	0	0	0	0	0	0	0
RP3-395M20.8	11	0	1	4	3	30	0	22	0	4	1	2	89	19	2	1	0	0	1	5	8	5
TNFRSF14	56	31	45	126	175	234	34	95	36	94	288	290	333	303	281	299	2	2	0	3	1	0
RP3-395M20.7	2	2	0	0	0	0	0	3	0	0	0	14	0	7	0	0	0	0	0	0	0	0
RP3-395M20.9	13	0	0	6	2	9	2	7	4	4	0	0	9	0	68	0	0	1	0	0	1	0
FAM213B	366	620	425	551	576	1312	197	363	200	403	467	428	698	818	811	852	125	60	56	98	72	100
MMEL1	0	0	0	1	0	2	0	10	0	0	2	4	4	5	8	1	0	0	0	1	0	2
RP13-436F16.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC34	78	0	44	16	9	96	83	56	51	28	158	0	83	22	3	30	3	13	2	29	0	25
RP11-740P5.2	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	2	0	0	0
RP11-740P5.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	1	0	1	2	3	0	0	0	0	2	0	0
RP1-163G9.1	9	39	42	158	100	44	17	32	21	45	82	151	28	66	6	84	25	8	7	6	0	30
AL008733.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	155	127	204	382	54	236	79	99	70	112	283	3	136	152	28	67	60	63	23	11	8	112
RP1-163G9.2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF16	0	1	4	20	0	16	0	6	0	1	10	3	1	4	1	3	0	0	0	7	2	3
MEGF6	0	1	2	11	0	0	2	3	0	10	90	6	6	82	7	6	0	0	1	0	0	2
MIR551A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-46F15.2	4	7	0	3	15	10	2	13	8	16	126	0	32	1	0	6	0	0	0	1	0	0
TPRG1L	4737	5353	5073	5507	8206	10215	5181	4452	3130	3222	5056	7263	5323	5962	5563	5375	112	68	91	1978	69	90
WRAP73	281	488	287	533	428	1100	186	451	111	418	585	982	867	743	725	1258	6	8	8	18	1	25
TP73	10	11	0	0	21	20	7	11	3	13	109	15	19	45	249	35	0	0	0	5	0	0
RP5-1092A11.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
RP5-1092A11.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TP73-AS1	162	311	532	363	502	664	422	398	328	291	444	256	519	301	311	293	6	7	7	131	2	6
CCDC27	0	2	7	0	1	1	2	1	0	0	1	76	4	0	2	1	0	1	0	0	0	1
SMIM1	2	2	6	9	0	7	0	6	0	2	6	26	1	7	3	20	0	0	0	0	0	0
LRRC47	2078	2536	2783	3360	3913	5180	2433	1900	1953	1698	2736	3054	2946	2414	3245	4122	806	595	762	1094	703	822
CEP104	1003	890	1741	1308	2029	2452	1520	1272	1043	768	1553	1176	777	1379	1094	911	205	197	97	555	472	215
DFFB	230	244	285	198	577	530	182	155	234	166	393	748	515	327	417	759	28	25	19	144	10	9
AL691523.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf174	2697	2675	1813	1879	3622	4257	3329	2565	1135	1387	1085	2037	842	1259	964	1590	54	69	32	638	37	82
RP13-15E13.1	0	0	0	0	14	6	17	0	13	4	45	13	9	2	4	1	1	1	0	8	0	0
RP13-614K11.1	227	196	510	524	77	47	126	153	199	91	60	1	35	646	86	79	30	27	14	53	1	7
RP13-614K11.2	2	8	0	13	0	5	0	7	0	1	0	0	0	13	0	0	0	1	3	3	0	1
RP11-374C13.1	0	0	0	0	0	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
RP5-1166F10.1	0	8	0	0	0	2	8	7	0	0	3	2	1	3	0	0	4	0	0	0	0	6
RP1-37J18.1	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
RP1-37J18.2	0	0	1	0	0	4	0	9	0	0	0	0	0	0	0	0	0	0	0	0	6	0
AJAP1	564	530	796	829	879	1075	995	718	475	471	741	507	752	908	654	615	111	98	60	338	195	129
RP11-542C10.1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP1-58B11.1	0	0	0	0	0	0	0	2	0	0	11	0	2	0	0	0	0	0	0	0	0	0
MIR4417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-154H17.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL356693.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPHP4	538	541	579	569	1297	1896	736	629	1114	968	1461	2569	1718	867	1557	1616	13	15	9	26	2	29
AL356261.1	5	2	0	13	0	0	5	0	0	2	10	0	0	0	0	0	0	0	0	0	0	0
KCNAB2	2574	4979	3392	5356	5918	13127	3334	5946	2309	5470	8027	7463	7778	9551	7392	7713	618	426	341	891	412	687
AL035406.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHD5	812	1413	890	1481	1592	3307	930	1581	929	2208	1724	2544	2517	1056	2375	2694	377	255	217	359	262	414
RPL22	20350	16204	16422	10310	43441	33779	19682	11087	19737	11995	12750	11534	14967	11742	15971	15248	15442	12899	15853	14605	16126	16981
RP1-120G22.11	7	8	4	19	26	26	3	1	4	15	36	69	72	84	0	36	0	0	2	0	0	2
RNF207	123	109	348	226	350	439	191	81	292	214	356	178	408	208	631	312	29	26	5	134	177	13
ICMT	1723	1157	1690	1480	2585	2723	2646	1585	1460	1136	1286	1519	1658	1219	1343	1048	74	32	48	427	8	45
LINC00337	3	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	1	1	0	0	2
HES3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1
GPR153	36	32	170	387	152	204	134	169	72	82	134	103	171	642	62	234	3	0	7	16	4	1
ACOT7	7346	12326	8564	11461	13628	25596	8588	13569	3292	7371	8083	11910	9133	18746	11603	12194	105	67	52	540	37	63
HES2	0	1	0	0	0	1	1	9	0	0	9	12	13	6	9	3	0	0	0	0	3	1
ESPN	2	4	0	0	0	2	0	2	0	7	12	0	17	30	4	2	0	0	0	0	0	2
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP1-202O8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	19	376	28	210	25	868	3	152	21	580	1393	1648	1006	590	430	791	6	2	1	1	1	1
PLEKHG5	259	763	162	377	515	1940	121	299	275	1215	1768	2024	1785	894	1536	1416	5	3	2	45	8	7
NOL9	1544	1744	1330	1360	3995	3388	2429	1506	2120	1305	1421	1408	1327	1128	1131	1580	1084	782	1018	1244	1600	954
RP11-58A11.2	4	1	9	5	2	10	1	0	8	14	1	3	0	1	0	45	8	4	0	2	0	1
TAS1R1	0	22	8	0	0	12	0	14	2	0	4	1	73	0	1	0	1	0	0	2	0	0
ZBTB48	124	472	137	463	336	1066	237	450	102	334	752	868	638	338	412	550	3	0	0	8	0	0
KLHL21	1265	1443	1734	1841	3248	3860	1092	920	1329	1171	1938	1985	2545	1271	1839	3416	259	209	94	319	165	219
PHF13	660	483	862	562	1474	1409	394	421	559	506	499	624	527	311	409	452	372	310	286	354	63	369
THAP3	1126	1458	1099	1239	2578	3505	1078	1476	436	1212	1039	1750	1447	2331	2669	1879	0	4	2	12	6	0
DNAJC11	1116	1548	663	977	1734	3788	1073	1360	372	801	559	507	392	496	456	758	28	17	13	173	11	5
RP11-242F24.1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	5
snoU13	919	913	1559	1231	1856	2205	1313	848	1346	1068	802	1128	797	576	658	662	1157	995	778	783	1470	1307
RP11-312B8.1	15	27	41	7	4	28	9	2	7	31	11	0	8	0	0	31	23	13	18	0	0	14
CAMTA1	7227	7316	10391	8411	20303	18995	10456	7312	7070	5987	5989	5746	5379	4436	3946	4740	10869	8833	9646	6440	14056	10901
RP11-312B8.2	6	0	0	0	0	2	0	0	4	2	2	0	2	0	7	0	0	0	2	0	0	1
RP11-334N17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U1	123	84	178	128	144	128	134	101	74	77	292	69	114	48	46	130	97	113	194	111	24	65
CAMTA1-IT1	0	1	0	1	1	0	1	4	2	4	0	0	8	1	0	0	0	0	0	0	0	0
RP3-453P22.2	2	0	0	2	0	2	0	0	0	4	22	20	32	0	0	0	0	0	0	0	0	0
RP4-549F15.1	0	6	0	0	0	2	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	2
VAMP3	1764	2010	5755	3842	3241	2984	3454	2656	2418	1644	2013	1596	1195	783	1274	2152	210	138	117	851	64	185
PER3	1849	1771	2614	2061	3907	4692	365	515	1975	2074	1516	1794	1944	825	985	1452	198	198	178	454	186	155
RP3-467L1.4	2	7	15	25	17	26	0	7	4	31	0	0	0	33	0	0	2	1	1	10	8	2
UTS2	14	0	2	5	6	0	44	6	0	4	0	2	3	2	0	1	4	0	0	2	0	25
